G_filename,H_filename,Score,TP,FP,FN,Reversed Edges,Accuracy,Precision,Recall,F1-Score,Depth Deviation,Mean Depth Error
G_100_0,H_100_0,default,68,31,31,1,0.523077,0.686869,0.686869,0.686869,2905,29.05
G_100_0_betweenness_centrality,H_100_0_betweenness_centrality,betweenness_centrality,97,2,2,2,0.960396,0.979798,0.979798,0.979798,0,0.0
G_100_0_closeness_centrality,H_100_0_closeness_centrality,closeness_centrality,0,99,99,99,0.0,0.0,0.0,0.0,0,0.0
G_100_0_clustering_coefficient,H_100_0_clustering_coefficient,clustering_coefficient,0,0,99,0,0.0,0.0,0.0,0.0,0,0.0
G_100_0_core_number,H_100_0_core_number,core_number,0,0,99,0,0.0,0.0,0.0,0.0,0,0.0
G_100_0_degree_centrality,H_100_0_degree_centrality,degree_centrality,82,10,17,10,0.752294,0.891304,0.828283,0.858639,0,0.0
G_100_0_fiedler_vector,H_100_0_fiedler_vector,fiedler_vector,47,52,52,52,0.311258,0.474747,0.474747,0.474747,0,0.0
G_100_0_hits,H_100_0_hits,hits,52,47,47,47,0.356164,0.525253,0.525253,0.525253,0,0.0
G_100_0_in_degree_centrality,H_100_0_in_degree_centrality,in_degree_centrality,0,2,99,2,0.0,0.0,0.0,0.0,0,0.0
G_100_0_katz,H_100_0_katz,katz,0,29,99,29,0.0,0.0,0.0,0.0,0,0.0
G_100_0_laplacian_eigenmap,H_100_0_laplacian_eigenmap,laplacian_eigenmap,47,52,52,52,0.311258,0.474747,0.474747,0.474747,0,0.0
G_100_0_local_efficiency,H_100_0_local_efficiency,local_efficiency,0,0,99,0,0.0,0.0,0.0,0.0,0,0.0
G_100_0_normalized_laplacian,H_100_0_normalized_laplacian,normalized_laplacian,85,14,14,14,0.752212,0.858586,0.858586,0.858586,0,0.0
G_100_0_our_degree_centrality,H_100_0_our_degree_centrality,our_degree_centrality,82,10,17,10,0.752294,0.891304,0.828283,0.858639,0,0.0
G_100_0_pagerank,H_100_0_pagerank,pagerank,57,42,42,42,0.404255,0.575758,0.575758,0.575758,0,0.0
G_100_0_spectral_centrality,H_100_0_spectral_centrality,spectral_centrality,2,0,97,0,0.020202,1.0,0.020202,0.039604,0,0.0
G_100_0_spectral_clustering,H_100_0_spectral_clustering,spectral_clustering,31,20,68,20,0.260504,0.607843,0.313131,0.413333,0,0.0
G_100_0_spectral_radius,H_100_0_spectral_radius,spectral_radius,0,0,99,0,0.0,0.0,0.0,0.0,0,0.0
G_100_0_triangle,H_100_0_triangle,triangle,0,0,99,0,0.0,0.0,0.0,0.0,0,0.0
G_100_10,H_100_10,default,64,35,35,1,0.477612,0.646465,0.646465,0.646465,2895,28.95
G_100_10_betweenness_centrality,H_100_10_betweenness_centrality,betweenness_centrality,96,12,3,3,0.864865,0.888889,0.969697,0.927536,0,0.0
G_100_10_closeness_centrality,H_100_10_closeness_centrality,closeness_centrality,21,87,78,78,0.112903,0.194444,0.212121,0.202899,0,0.0
G_100_10_clustering_coefficient,H_100_10_clustering_coefficient,clustering_coefficient,2,5,97,3,0.019231,0.285714,0.020202,0.037736,0,0.0
G_100_10_core_number,H_100_10_core_number,core_number,35,0,64,0,0.353535,1.0,0.353535,0.522388,0,0.0
G_100_10_degree_centrality,H_100_10_degree_centrality,degree_centrality,81,13,18,7,0.723214,0.861702,0.818182,0.839378,0,0.0
G_100_10_fiedler_vector,H_100_10_fiedler_vector,fiedler_vector,30,78,69,69,0.169492,0.277778,0.30303,0.289855,0,0.0
G_100_10_hits,H_100_10_hits,hits,63,45,36,36,0.4375,0.583333,0.636364,0.608696,0,0.0
G_100_10_in_degree_centrality,H_100_10_in_degree_centrality,in_degree_centrality,6,18,93,10,0.051282,0.25,0.060606,0.097561,0,0.0
G_100_10_katz,H_100_10_katz,katz,21,44,78,35,0.146853,0.323077,0.212121,0.256098,0,0.0
G_100_10_laplacian_eigenmap,H_100_10_laplacian_eigenmap,laplacian_eigenmap,30,78,69,69,0.169492,0.277778,0.30303,0.289855,0,0.0
