nohup: ignoring input
Starting simulated annealing
Initial tree is an arborescence:  True
Initial tree generated
Iteration: 1964, Valid modifications: 1, Effective modifications: 1, Loss: 1814.3463964295586
Iteration: 7466, Valid modifications: 2, Effective modifications: 2, Loss: 1812.3463966002346
Iteration: 10029, Valid modifications: 3, Effective modifications: 3, Loss: 1812.3463966002346
Iteration: 10086, Valid modifications: 4, Effective modifications: 4, Loss: 1812.3463966002346
Iteration: 22719, Valid modifications: 5, Effective modifications: 5, Loss: 1811.3547487418314
Iteration: 23457, Valid modifications: 6, Effective modifications: 6, Loss: 1811.3547487418314
Iteration: 25593, Valid modifications: 7, Effective modifications: 7, Loss: 1810.358705253311
Iteration: 29432, Valid modifications: 8, Effective modifications: 8, Loss: 1810.358705253311
Iteration: 31879, Valid modifications: 9, Effective modifications: 9, Loss: 1810.358705253311
Iteration: 32815, Valid modifications: 10, Effective modifications: 10, Loss: 1810.358705253311
Iteration: 32860, Valid modifications: 11, Effective modifications: 11, Loss: 1810.358705253311
Iteration: 33864, Valid modifications: 12, Effective modifications: 12, Loss: 1810.358705253311
Iteration: 34091, Valid modifications: 13, Effective modifications: 13, Loss: 1810.358705253311
Iteration: 34341, Valid modifications: 14, Effective modifications: 14, Loss: 1810.358705253311
Iteration: 34383, Valid modifications: 15, Effective modifications: 15, Loss: 1810.358705253311
Iteration: 34610, Valid modifications: 16, Effective modifications: 16, Loss: 1810.358705253311
Iteration: 36159, Valid modifications: 17, Effective modifications: 17, Loss: 1810.358705253311
Iteration: 44785, Valid modifications: 18, Effective modifications: 18, Loss: 1810.358705253311
Iteration: 56130, Valid modifications: 19, Effective modifications: 19, Loss: 1810.358705253311
Iteration: 58311, Valid modifications: 20, Effective modifications: 20, Loss: 1810.358705253311
Iteration: 58900, Valid modifications: 21, Effective modifications: 21, Loss: 1810.358705253311
Iteration: 60039, Valid modifications: 22, Effective modifications: 22, Loss: 1810.358705253311
Iteration: 60794, Valid modifications: 23, Effective modifications: 23, Loss: 1810.358705253311
Iteration: 61433, Valid modifications: 24, Effective modifications: 24, Loss: 1810.358705253311
Iteration: 64212, Valid modifications: 25, Effective modifications: 25, Loss: 1810.358705253311
Iteration: 65749, Valid modifications: 26, Effective modifications: 26, Loss: 1810.358705253311
Iteration: 72887, Valid modifications: 27, Effective modifications: 27, Loss: 1810.358705253311
Iteration: 73147, Valid modifications: 28, Effective modifications: 28, Loss: 1810.358705253311
Iteration: 74094, Valid modifications: 29, Effective modifications: 29, Loss: 1810.358705253311
Iteration: 77340, Valid modifications: 30, Effective modifications: 30, Loss: 1810.358705253311
Iteration: 77945, Valid modifications: 31, Effective modifications: 31, Loss: 1810.358705253311
Iteration: 78595, Valid modifications: 32, Effective modifications: 32, Loss: 1810.358705253311
Iteration: 79701, Valid modifications: 33, Effective modifications: 33, Loss: 1810.358705253311
Iteration: 79760, Valid modifications: 34, Effective modifications: 34, Loss: 1810.358705253311
Iteration: 80988, Valid modifications: 35, Effective modifications: 35, Loss: 1810.358705253311
Iteration: 81768, Valid modifications: 36, Effective modifications: 36, Loss: 1810.358705253311
Iteration: 84333, Valid modifications: 37, Effective modifications: 37, Loss: 1810.358705253311
Iteration: 85321, Valid modifications: 38, Effective modifications: 38, Loss: 1810.358705253311
Iteration: 86051, Valid modifications: 39, Effective modifications: 39, Loss: 1810.358705253311
Iteration: 88953, Valid modifications: 40, Effective modifications: 40, Loss: 1810.358705253311
Iteration: 90299, Valid modifications: 41, Effective modifications: 41, Loss: 1810.358705253311
Iteration: 93583, Valid modifications: 42, Effective modifications: 42, Loss: 1810.358705253311
Iteration: 94837, Valid modifications: 43, Effective modifications: 43, Loss: 1810.358705253311
Iteration: 96471, Valid modifications: 44, Effective modifications: 44, Loss: 1810.358705253311
Iteration: 104337, Valid modifications: 45, Effective modifications: 45, Loss: 1810.358705253311
Iteration: 107551, Valid modifications: 46, Effective modifications: 46, Loss: 1810.358705253311
Iteration: 107991, Valid modifications: 47, Effective modifications: 47, Loss: 1810.358705253311
Iteration: 109923, Valid modifications: 48, Effective modifications: 48, Loss: 1810.358705253311
Iteration: 110532, Valid modifications: 49, Effective modifications: 49, Loss: 1810.358705253311
Iteration: 111300, Valid modifications: 50, Effective modifications: 50, Loss: 1810.358705253311
Iteration: 113882, Valid modifications: 51, Effective modifications: 51, Loss: 1809.478639695565
Iteration: 114624, Valid modifications: 52, Effective modifications: 52, Loss: 1809.478639695565
Iteration: 114755, Valid modifications: 53, Effective modifications: 53, Loss: 1809.478639695565
Iteration: 117007, Valid modifications: 54, Effective modifications: 54, Loss: 1809.4776682090162
Iteration: 120254, Valid modifications: 55, Effective modifications: 55, Loss: 1809.4776682090162
Iteration: 120692, Valid modifications: 56, Effective modifications: 56, Loss: 1809.4390940610801
Iteration: 121878, Valid modifications: 57, Effective modifications: 57, Loss: 1809.4390940610801
Iteration: 125452, Valid modifications: 58, Effective modifications: 58, Loss: 1808.4410723922047
Iteration: 125547, Valid modifications: 59, Effective modifications: 59, Loss: 1808.4410723922047
Iteration: 129885, Valid modifications: 60, Effective modifications: 60, Loss: 1808.4410723922047
Iteration: 130079, Valid modifications: 61, Effective modifications: 61, Loss: 1808.4410723922047
Iteration: 135764, Valid modifications: 62, Effective modifications: 62, Loss: 1808.4410723922047
Iteration: 136084, Valid modifications: 63, Effective modifications: 63, Loss: 1808.4410723922047
Iteration: 139289, Valid modifications: 64, Effective modifications: 64, Loss: 1808.4410723922047
Iteration: 142140, Valid modifications: 65, Effective modifications: 65, Loss: 1808.4410723922047
Iteration: 145165, Valid modifications: 66, Effective modifications: 66, Loss: 1808.4410723922047
Iteration: 149552, Valid modifications: 67, Effective modifications: 67, Loss: 1807.4537900613636
Iteration: 158416, Valid modifications: 68, Effective modifications: 68, Loss: 1807.4537899224315
