nohup: ignoring input
Starting simulated annealing
Initial tree generated
Iteration: 16592, Valid modifications: 1, Effective modifications: 1, Loss: 3345.121779784785
Iteration: 25844, Valid modifications: 2, Effective modifications: 2, Loss: 3345.121779784785
Iteration: 32205, Valid modifications: 3, Effective modifications: 3, Loss: 3343.1220975793667
Iteration: 45969, Valid modifications: 4, Effective modifications: 4, Loss: 3342.1217802785086
Iteration: 56368, Valid modifications: 5, Effective modifications: 5, Loss: 3342.1180010323515
Iteration: 57427, Valid modifications: 6, Effective modifications: 6, Loss: 3342.1180010323515
Iteration: 72898, Valid modifications: 7, Effective modifications: 7, Loss: 3342.1180010323515
Iteration: 94710, Valid modifications: 8, Effective modifications: 8, Loss: 3342.1180010323515
Iteration: 115248, Valid modifications: 9, Effective modifications: 9, Loss: 3341.1199049232264
Iteration: 115369, Valid modifications: 10, Effective modifications: 10, Loss: 3341.1199049232264
Iteration: 116867, Valid modifications: 11, Effective modifications: 11, Loss: 3340.12032313146
Iteration: 120510, Valid modifications: 12, Effective modifications: 12, Loss: 3340.12032313146
Iteration: 132056, Valid modifications: 13, Effective modifications: 13, Loss: 3339.120640535494
Iteration: 149517, Valid modifications: 14, Effective modifications: 14, Loss: 3339.1177851510583
Iteration: 155024, Valid modifications: 15, Effective modifications: 15, Loss: 3339.1177851510583
Iteration: 160266, Valid modifications: 16, Effective modifications: 16, Loss: 3338.122227503722
Iteration: 168906, Valid modifications: 17, Effective modifications: 17, Loss: 3338.122227503722
Iteration: 171815, Valid modifications: 18, Effective modifications: 18, Loss: 3338.122227503722
Iteration: 178434, Valid modifications: 19, Effective modifications: 19, Loss: 3337.1225508116163
Iteration: 183106, Valid modifications: 20, Effective modifications: 20, Loss: 3336.1228681209964
Iteration: 185317, Valid modifications: 21, Effective modifications: 21, Loss: 3334.1231854600683
Iteration: 193853, Valid modifications: 22, Effective modifications: 22, Loss: 3334.1231854600683
Iteration: 203390, Valid modifications: 23, Effective modifications: 23, Loss: 3333.12350326794
Iteration: 213828, Valid modifications: 24, Effective modifications: 24, Loss: 3333.12350326794
Iteration: 214745, Valid modifications: 25, Effective modifications: 25, Loss: 3331.12382059985
Iteration: 235905, Valid modifications: 26, Effective modifications: 26, Loss: 3331.12382059985
Iteration: 239671, Valid modifications: 27, Effective modifications: 27, Loss: 3330.124137915924
Iteration: 245587, Valid modifications: 28, Effective modifications: 28, Loss: 3329.124455225249
Iteration: 253570, Valid modifications: 29, Effective modifications: 29, Loss: 3329.124455225249
Iteration: 256252, Valid modifications: 30, Effective modifications: 30, Loss: 3328.125724613411
Iteration: 257730, Valid modifications: 31, Effective modifications: 31, Loss: 3327.1260419259197
Iteration: 263394, Valid modifications: 32, Effective modifications: 32, Loss: 3326.126359235269
Iteration: 268748, Valid modifications: 33, Effective modifications: 33, Loss: 3325.126676545128
Iteration: 279592, Valid modifications: 34, Effective modifications: 34, Loss: 3325.1263593063495
Iteration: 287019, Valid modifications: 35, Effective modifications: 35, Loss: 3324.1266766211
Iteration: 291911, Valid modifications: 36, Effective modifications: 36, Loss: 3323.1273113106786
Iteration: 304922, Valid modifications: 37, Effective modifications: 37, Loss: 3322.1276286458556
Iteration: 306222, Valid modifications: 38, Effective modifications: 38, Loss: 3321.1279459551583
Iteration: 311867, Valid modifications: 39, Effective modifications: 39, Loss: 3321.1279459551583
Iteration: 319524, Valid modifications: 40, Effective modifications: 40, Loss: 3320.127946171663
Iteration: 327202, Valid modifications: 41, Effective modifications: 41, Loss: 3319.1282634894155
Iteration: 338964, Valid modifications: 42, Effective modifications: 42, Loss: 3318.128580798815
Iteration: 360789, Valid modifications: 43, Effective modifications: 43, Loss: 3318.128580798815
Iteration: 362077, Valid modifications: 44, Effective modifications: 44, Loss: 3318.128580798815
Iteration: 377574, Valid modifications: 45, Effective modifications: 45, Loss: 3318.128580798815
Iteration: 378050, Valid modifications: 46, Effective modifications: 46, Loss: 3318.128263801379
Iteration: 407741, Valid modifications: 47, Effective modifications: 47, Loss: 3316.128263876941
Iteration: 413907, Valid modifications: 48, Effective modifications: 48, Loss: 3316.128263876941
Iteration: 417666, Valid modifications: 49, Effective modifications: 49, Loss: 3316.128263876941
Iteration: 419840, Valid modifications: 50, Effective modifications: 50, Loss: 3315.1288985143733
Iteration: 422089, Valid modifications: 51, Effective modifications: 51, Loss: 3315.1285813197655
Iteration: 427382, Valid modifications: 52, Effective modifications: 52, Loss: 3315.1266779490084
Iteration: 456995, Valid modifications: 53, Effective modifications: 53, Loss: 3315.1266779490084
Iteration: 463119, Valid modifications: 54, Effective modifications: 54, Loss: 3315.1266779490084
Iteration: 472108, Valid modifications: 55, Effective modifications: 55, Loss: 3315.1266779490084
Iteration: 477696, Valid modifications: 56, Effective modifications: 56, Loss: 3315.1266779490084
Iteration: 480393, Valid modifications: 57, Effective modifications: 57, Loss: 3314.12699546879
Iteration: 485621, Valid modifications: 58, Effective modifications: 58, Loss: 3313.127312812399
Iteration: 485682, Valid modifications: 59, Effective modifications: 59, Loss: 3313.127312812399
Iteration: 491056, Valid modifications: 60, Effective modifications: 60, Loss: 3313.127312812399
Iteration: 493640, Valid modifications: 61, Effective modifications: 61, Loss: 3312.128582243551
Iteration: 499057, Valid modifications: 62, Effective modifications: 62, Loss: 3312.128582243551
Iteration: 500211, Valid modifications: 63, Effective modifications: 63, Loss: 3312.128582243551
Iteration: 522964, Valid modifications: 64, Effective modifications: 64, Loss: 3312.128582243551
Iteration: 523257, Valid modifications: 65, Effective modifications: 65, Loss: 3311.1301898795336
Iteration: 529657, Valid modifications: 66, Effective modifications: 66, Loss: 3311.1301898795336
Iteration: 562264, Valid modifications: 67, Effective modifications: 67, Loss: 3311.092907467346
Iteration: 570452, Valid modifications: 68, Effective modifications: 68, Loss: 3310.0935422146035
Iteration: 572129, Valid modifications: 69, Effective modifications: 69, Loss: 3309.0938596727406
Iteration: 582276, Valid modifications: 70, Effective modifications: 70, Loss: 3308.094176994944
Iteration: 608768, Valid modifications: 71, Effective modifications: 71, Loss: 3307.0948116148747
Iteration: 614706, Valid modifications: 72, Effective modifications: 72, Loss: 3305.096845317646
Iteration: 622711, Valid modifications: 73, Effective modifications: 73, Loss: 3304.097479941055
Iteration: 632552, Valid modifications: 74, Effective modifications: 74, Loss: 3303.0977972569026
Iteration: 642991, Valid modifications: 75, Effective modifications: 75, Loss: 3302.0981145858877
Iteration: 645141, Valid modifications: 76, Effective modifications: 76, Loss: 3302.0981145858877
Iteration: 648899, Valid modifications: 77, Effective modifications: 77, Loss: 3302.0981145858877
Iteration: 651654, Valid modifications: 78, Effective modifications: 78, Loss: 3302.0981145858877
Iteration: 657265, Valid modifications: 79, Effective modifications: 79, Loss: 3300.1188425694486
Iteration: 659671, Valid modifications: 80, Effective modifications: 80, Loss: 3299.1109272987615
Iteration: 661942, Valid modifications: 81, Effective modifications: 81, Loss: 3299.1109272987615
Iteration: 666933, Valid modifications: 82, Effective modifications: 82, Loss: 3299.110618795511
Iteration: 687784, Valid modifications: 83, Effective modifications: 83, Loss: 3299.110618795511
Iteration: 694024, Valid modifications: 84, Effective modifications: 84, Loss: 3299.110618795511
Iteration: 694908, Valid modifications: 85, Effective modifications: 85, Loss: 3299.110618795511
Iteration: 697451, Valid modifications: 86, Effective modifications: 86, Loss: 3299.110618795511
Iteration: 707064, Valid modifications: 87, Effective modifications: 87, Loss: 3299.110618795511
Iteration: 710960, Valid modifications: 88, Effective modifications: 88, Loss: 3299.110618795511
Iteration: 720931, Valid modifications: 89, Effective modifications: 89, Loss: 3299.110618795511
Iteration: 722338, Valid modifications: 90, Effective modifications: 90, Loss: 3299.110618795511
Iteration: 729900, Valid modifications: 91, Effective modifications: 91, Loss: 3299.110618795511
Iteration: 730275, Valid modifications: 92, Effective modifications: 92, Loss: 3299.110618795511
Iteration: 730853, Valid modifications: 93, Effective modifications: 93, Loss: 3299.110618795511
Iteration: 740711, Valid modifications: 94, Effective modifications: 94, Loss: 3299.110618795511
Iteration: 750957, Valid modifications: 95, Effective modifications: 95, Loss: 3298.2055133116505
Iteration: 753740, Valid modifications: 96, Effective modifications: 96, Loss: 3297.2023445162363
Iteration: 778895, Valid modifications: 97, Effective modifications: 97, Loss: 3296.2026618199834
Iteration: 784009, Valid modifications: 98, Effective modifications: 98, Loss: 3296.2026618199834
Iteration: 792630, Valid modifications: 99, Effective modifications: 99, Loss: 3296.2026618199834
Iteration: 796855, Valid modifications: 100, Effective modifications: 100, Loss: 3296.2026618199834
Iteration: 799729, Valid modifications: 101, Effective modifications: 101, Loss: 3296.2026618199834
Iteration: 809674, Valid modifications: 102, Effective modifications: 102, Loss: 3296.2026618199834
Iteration: 819605, Valid modifications: 103, Effective modifications: 103, Loss: 3296.2026618199834
Iteration: 821800, Valid modifications: 104, Effective modifications: 104, Loss: 3295.2054940681955
Iteration: 825520, Valid modifications: 105, Effective modifications: 105, Loss: 3295.2054940681955
Iteration: 825768, Valid modifications: 106, Effective modifications: 106, Loss: 3294.2058113806083
Iteration: 825820, Valid modifications: 107, Effective modifications: 107, Loss: 3293.205177496762
Iteration: 827357, Valid modifications: 108, Effective modifications: 108, Loss: 3292.2064467336336
Iteration: 828002, Valid modifications: 109, Effective modifications: 109, Loss: 3291.206764042857
Iteration: 863680, Valid modifications: 110, Effective modifications: 110, Loss: 3291.206446606278
Iteration: 866838, Valid modifications: 111, Effective modifications: 111, Loss: 3290.2067639240777
Iteration: 875554, Valid modifications: 112, Effective modifications: 112, Loss: 3289.209619724482
Iteration: 881533, Valid modifications: 113, Effective modifications: 113, Loss: 3288.209937227852
Iteration: 884531, Valid modifications: 114, Effective modifications: 114, Loss: 3288.209937227758
Iteration: 885688, Valid modifications: 115, Effective modifications: 115, Loss: 3288.209937227758
Iteration: 886457, Valid modifications: 116, Effective modifications: 116, Loss: 3288.209937227758
Iteration: 898169, Valid modifications: 117, Effective modifications: 117, Loss: 3288.209937227758
Iteration: 900895, Valid modifications: 118, Effective modifications: 118, Loss: 3288.209937227758
Iteration: 929642, Valid modifications: 119, Effective modifications: 119, Loss: 3287.210889360964
Iteration: 929875, Valid modifications: 120, Effective modifications: 120, Loss: 3285.2242174848293
Iteration: 930582, Valid modifications: 121, Effective modifications: 121, Loss: 3284.216619630417
Iteration: 931101, Valid modifications: 122, Effective modifications: 122, Loss: 3284.216619630417
Iteration: 934038, Valid modifications: 123, Effective modifications: 123, Loss: 3284.216302324623
Iteration: 940303, Valid modifications: 124, Effective modifications: 124, Loss: 3284.216302324623
Iteration: 949839, Valid modifications: 125, Effective modifications: 125, Loss: 3284.216302324623
Iteration: 956189, Valid modifications: 126, Effective modifications: 126, Loss: 3284.216302324623
Iteration: 962081, Valid modifications: 127, Effective modifications: 127, Loss: 3284.216302324623
Iteration: 964405, Valid modifications: 128, Effective modifications: 128, Loss: 3284.216302324623
Iteration: 968923, Valid modifications: 129, Effective modifications: 129, Loss: 3284.216302324623
Iteration: 981733, Valid modifications: 130, Effective modifications: 130, Loss: 3284.216302324623
Iteration: 999304, Valid modifications: 131, Effective modifications: 131, Loss: 3284.216302324623
Iteration: 1002533, Valid modifications: 132, Effective modifications: 132, Loss: 3284.216302324623
Iteration: 1006198, Valid modifications: 133, Effective modifications: 133, Loss: 3284.216302324623
Iteration: 1007374, Valid modifications: 134, Effective modifications: 134, Loss: 3284.216302324623
Iteration: 1008265, Valid modifications: 135, Effective modifications: 135, Loss: 3284.216302324623
Iteration: 1023539, Valid modifications: 136, Effective modifications: 136, Loss: 3284.216302324623
Iteration: 1037569, Valid modifications: 137, Effective modifications: 137, Loss: 3284.216302324623
