nohup: ignoring input
Starting simulated annealing
Iteration: 0, Valid modifications: 1, Effective modifications: 1, Loss: 610.9611571222281
Iteration: 1000, Valid modifications: 869, Effective modifications: 859, Loss: 12557.396637002974
Iteration: 3000, Valid modifications: 2610, Effective modifications: 2595, Loss: 19744.021841343863
Iteration: 4000, Valid modifications: 3490, Effective modifications: 3472, Loss: 20787.45514082776
Iteration: 5000, Valid modifications: 4367, Effective modifications: 4349, Loss: 21225.5781443821
Iteration: 6000, Valid modifications: 5259, Effective modifications: 5241, Loss: 21365.796576187164
Iteration: 7000, Valid modifications: 6139, Effective modifications: 6121, Loss: 21435.88426910791
Iteration: 8000, Valid modifications: 7019, Effective modifications: 7001, Loss: 21460.433750200587
Iteration: 9000, Valid modifications: 7864, Effective modifications: 7846, Loss: 21507.078508160237
Iteration: 10000, Valid modifications: 8713, Effective modifications: 8695, Loss: 21517.97779800112
Iteration: 11000, Valid modifications: 9572, Effective modifications: 9554, Loss: 21596.74637127519
Iteration: 13000, Valid modifications: 11286, Effective modifications: 11268, Loss: 21591.258896764783
Iteration: 14000, Valid modifications: 12176, Effective modifications: 12158, Loss: 21712.358873822344
Iteration: 15000, Valid modifications: 13029, Effective modifications: 13008, Loss: 21682.4153608755
Iteration: 17000, Valid modifications: 14796, Effective modifications: 14773, Loss: 21729.543740654914
Iteration: 18000, Valid modifications: 15643, Effective modifications: 15620, Loss: 21704.0538072507
Iteration: 20000, Valid modifications: 17304, Effective modifications: 17281, Loss: 21568.005345607835
Iteration: 22000, Valid modifications: 19069, Effective modifications: 19045, Loss: 21598.93427119133
Iteration: 23000, Valid modifications: 19925, Effective modifications: 19901, Loss: 21628.207223402253
Iteration: 24000, Valid modifications: 20808, Effective modifications: 20782, Loss: 21624.265002097905
Iteration: 25000, Valid modifications: 21641, Effective modifications: 21615, Loss: 21645.86329302092
Iteration: 26000, Valid modifications: 22503, Effective modifications: 22476, Loss: 21688.692418870094
Iteration: 27000, Valid modifications: 23397, Effective modifications: 23369, Loss: 21675.591257858956
Iteration: 28000, Valid modifications: 24246, Effective modifications: 24217, Loss: 21704.696974449158
Iteration: 29000, Valid modifications: 25095, Effective modifications: 25066, Loss: 21734.27103460246
Iteration: 30000, Valid modifications: 25958, Effective modifications: 25929, Loss: 21788.85139008334
Iteration: 32000, Valid modifications: 27680, Effective modifications: 27649, Loss: 21744.772022253746
Iteration: 33000, Valid modifications: 28561, Effective modifications: 28530, Loss: 21773.589918689457
Iteration: 34000, Valid modifications: 29468, Effective modifications: 29437, Loss: 21766.598090345393
Iteration: 35000, Valid modifications: 30336, Effective modifications: 30305, Loss: 21759.54141806939
Iteration: 36000, Valid modifications: 31216, Effective modifications: 31181, Loss: 21706.65066841607
Iteration: 37000, Valid modifications: 32127, Effective modifications: 32092, Loss: 21676.718531824055
Iteration: 38000, Valid modifications: 33004, Effective modifications: 32967, Loss: 21604.062308807646
Iteration: 39000, Valid modifications: 33850, Effective modifications: 33813, Loss: 21556.55227015309
Iteration: 40000, Valid modifications: 34722, Effective modifications: 34685, Loss: 21635.031420380725
Iteration: 41000, Valid modifications: 35558, Effective modifications: 35521, Loss: 21496.794563331994
Iteration: 42000, Valid modifications: 36403, Effective modifications: 36366, Loss: 21632.892480987644
Iteration: 43000, Valid modifications: 37283, Effective modifications: 37246, Loss: 21653.906128242
Iteration: 44000, Valid modifications: 38135, Effective modifications: 38096, Loss: 21696.41787548444
Iteration: 46000, Valid modifications: 39904, Effective modifications: 39864, Loss: 21684.32633543945
Iteration: 47000, Valid modifications: 40764, Effective modifications: 40724, Loss: 21812.805221667888
Iteration: 48000, Valid modifications: 41624, Effective modifications: 41584, Loss: 21746.732383154966
