2025-03-11 13:31:49,979 - Trial 4: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 152.76471922714688, 'cooling_rate': 0.9944384997670161, 'max_iter': 977281, 'loss_weights': {'weight': 13.372553244489138, 'community': 12.36039395874615, 'diversity': 16.750858698508036, 'shortcut': 1563.8192549261767}, 'resolution': 1.8217607593062903}
2025-03-11 13:31:50,015 - Trial 3: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 162.9308564514077, 'cooling_rate': 0.9913668518902501, 'max_iter': 944759, 'loss_weights': {'weight': 13.333376078864175, 'community': 18.32552295639563, 'diversity': 6.234863197128694, 'shortcut': 1255.3165588289812}, 'resolution': 4.666466000928774}
2025-03-11 13:31:50,137 - Trial 0: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 598.8595164414535, 'cooling_rate': 0.9933081798749983, 'max_iter': 682896, 'loss_weights': {'weight': 9.903314460426445, 'community': 19.051005649743338, 'diversity': 14.719994054625532, 'shortcut': 8499.116928591933}, 'resolution': 4.417155401939189}
2025-03-11 13:31:50,150 - Trial 1: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 828.5536980838078, 'cooling_rate': 0.9923194149241127, 'max_iter': 227106, 'loss_weights': {'weight': 13.744668952157555, 'community': 1.331152543669341, 'diversity': 19.89103924059782, 'shortcut': 1965.154621463141}, 'resolution': 0.42540058371725054}
2025-03-11 13:31:50,504 - Trial 2: F1-score = 0.218595450049456, Shortcuts = 0, TP = 442, Parameters = {'initial_temp': 975.8439676612036, 'cooling_rate': 0.9987227921193095, 'max_iter': 222096, 'loss_weights': {'weight': 6.461535317319283, 'community': 17.255728301463314, 'diversity': 10.674480628469892, 'shortcut': 8794.858386714788}, 'resolution': 1.6575154062201436}
2025-03-11 13:31:50,536 - Best parameters: {'initial_temp': 975.8439676612036, 'cooling_rate': 0.9987227921193095, 'max_iter': 222096, 'weight': 6.461535317319283, 'community': 17.255728301463314, 'diversity': 10.674480628469892, 'shortcut': 8794.858386714788, 'resolution': 1.6575154062201436}, Best TP: 442.0
2025-03-11 14:05:27,366 - Trial 2: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 375.14312858369027, 'cooling_rate': 0.9909682644584743, 'max_iter': 71400000, 'loss_weights': {'weight': 12.562459712324891, 'community': 17.458156375645412, 'diversity': 1.5525160214333593, 'shortcut': 9012.202926451559}, 'resolution': 3.6376638446872054}
2025-03-11 14:05:33,619 - Trial 6: F1-score = 0.2160139685707159, Shortcuts = 35, TP = 433, Parameters = {'initial_temp': 458.80346380313546, 'cooling_rate': 0.9913039509341011, 'max_iter': 61400000, 'loss_weights': {'weight': 3.7340961960695767, 'community': 8.785059071322502, 'diversity': 0.38583810812534813, 'shortcut': 271.9265201139198}, 'resolution': 2.2290272662815904}
2025-03-11 14:05:39,370 - Trial 1: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 257.78821962320325, 'cooling_rate': 0.993248359051264, 'max_iter': 74300000, 'loss_weights': {'weight': 14.386341429715738, 'community': 18.67056672619325, 'diversity': 15.208197690697963, 'shortcut': 6885.281311757209}, 'resolution': 2.842419316393582}
2025-03-11 14:05:44,627 - Trial 5: F1-score = 0.21636408853519024, Shortcuts = 23, TP = 435, Parameters = {'initial_temp': 462.40965560751977, 'cooling_rate': 0.9943638390704369, 'max_iter': 93600000, 'loss_weights': {'weight': 18.384188239354366, 'community': 11.318334479583545, 'diversity': 14.552484414283562, 'shortcut': 407.27493139498966}, 'resolution': 2.2905284885223494}
2025-03-11 14:05:55,344 - Trial 28: F1-score = 0.21810089020771514, Shortcuts = 0, TP = 441, Parameters = {'initial_temp': 676.398087999087, 'cooling_rate': 0.9903891095641928, 'max_iter': 50200000, 'loss_weights': {'weight': 9.63217049293425, 'community': 10.486362177183507, 'diversity': 1.4420257878262106, 'shortcut': 2292.3662164427906}, 'resolution': 3.614559667369626}
